Time,Height
9.887896362004607864e-01 , 3.016481665008850754e+01
9.960070788004641296e-01 , 3.034974837612593035e+01
1.003224521400467362e+00 , 3.053416924104170604e+01
1.010441964000470927e+00 , 3.071807924483584173e+01
1.017659406600474270e+00 , 3.090147838750831610e+01
1.024876849200477613e+00 , 3.108436666905914691e+01
1.032094291800480956e+00 , 3.126674408948831996e+01
1.039311734400484299e+00 , 3.144861064879584944e+01
1.046529177000487643e+00 , 3.162996634698172116e+01
1.053746619600490986e+00 , 3.181081118404594221e+01
1.060964062200494329e+00 , 3.199114515998851971e+01
1.068181504800497672e+00 , 3.217096827480943944e+01
1.075398947400501015e+00 , 3.235028052850871916e+01
1.082616390000504358e+00 , 3.252908192108633756e+01
1.089833832600507924e+00 , 3.270737245254232306e+01
1.097051275200511267e+00 , 3.288515212287664014e+01
1.104268717800514610e+00 , 3.306242093208931720e+01
1.111486160400517953e+00 , 3.323917888018033295e+01
1.118703603000521296e+00 , 3.341542596714971580e+01
1.125921045600524639e+00 , 3.359116219299743022e+01
1.133138488200527982e+00 , 3.376638755772350464e+01
1.140355930800531326e+00 , 3.394110206132792484e+01
1.147573373400534669e+00 , 3.411530570381069793e+01
1.154790816000538012e+00 , 3.428899848517181681e+01
1.162008258600541355e+00 , 3.446218040541128858e+01
1.169225701200544920e+00 , 3.463485146452910612e+01
1.176443143800548263e+00 , 3.480701166252528367e+01
1.183660586400551606e+00 , 3.497866099939979279e+01
1.190878029000554950e+00 , 3.514979947515266900e+01
1.198095471600558293e+00 , 3.532042708978388390e+01
1.205312914200561636e+00 , 3.549054384329345169e+01
1.212530356800564979e+00 , 3.566014973568136526e+01
1.219747799400568322e+00 , 3.582924476694763882e+01
1.226965242000571665e+00 , 3.599782893709225107e+01
1.234182684600575008e+00 , 3.616590224611522331e+01
1.241400127200578352e+00 , 3.633346469401653422e+01
1.248617569800581917e+00 , 3.650051628079620514e+01
1.255835012400585260e+00 , 3.666705700645422183e+01
1.263052455000588603e+00 , 3.683308687099058432e+01
1.270269897600591946e+00 , 3.699860587440529969e+01
1.277487340200595289e+00 , 3.716361401669836795e+01
1.284704782800598633e+00 , 3.732811129786978199e+01
1.291922225400601976e+00 , 3.749209771791954893e+01
1.299139668000605319e+00 , 3.765557327684765454e+01
1.306357110600608662e+00 , 3.781853797465412015e+01
1.313574553200612005e+00 , 3.798099181133893154e+01
1.320791995800615348e+00 , 3.814293478690209582e+01
1.328009438400618913e+00 , 3.830436690134360589e+01
1.335226881000622257e+00 , 3.846528815466346884e+01
1.342444323600625600e+00 , 3.862569854686168469e+01
1.349661766200628943e+00 , 3.878559807793824632e+01
1.356879208800632286e+00 , 3.894498674789315373e+01
1.364096651400635629e+00 , 3.910386455672641404e+01
1.371314094000638972e+00 , 3.926223150443802012e+01
1.378531536600642315e+00 , 3.942008759102798621e+01
1.385748979200645659e+00 , 3.957743281649629097e+01
1.392966421800649002e+00 , 3.973426718084294862e+01
1.400183864400652345e+00 , 3.989059068406795916e+01
1.407401307000655910e+00 , 4.004640332617132259e+01
1.414618749600659253e+00 , 4.020170510715302470e+01
1.421836192200662596e+00 , 4.035649602701308680e+01
1.429053634800665940e+00 , 4.051077608575148759e+01
1.436271077400669283e+00 , 4.066454528336824126e+01
1.443488520000672626e+00 , 4.081780361986335492e+01
1.450705962600675969e+00 , 4.097055109523680727e+01
1.457923405200679312e+00 , 4.112278770948861251e+01
1.465140847800682655e+00 , 4.127451346261876353e+01
1.472358290400685998e+00 , 4.142572835462727454e+01
1.479575733000689342e+00 , 4.157643238551412423e+01
1.486793175600692907e+00 , 4.172662555527933392e+01
1.494010618200696250e+00 , 4.187630786392288940e+01
1.501228060800699593e+00 , 4.202547931144479776e+01
1.508445503400702936e+00 , 4.217413989784504480e+01
1.515662946000706279e+00 , 4.232228962312365184e+01
1.522880388600709622e+00 , 4.246992848728059755e+01
1.530097831200712966e+00 , 4.261705649031590326e+01
1.537315273800716309e+00 , 4.276367363222955476e+01
1.544532716400719652e+00 , 4.290977991302155203e+01
1.551750159000722995e+00 , 4.305537533269190220e+01
1.558967601600726338e+00 , 4.320045989124060526e+01
1.566185044200729681e+00 , 4.334503358866765410e+01
1.573402486800733246e+00 , 4.348909642497306294e+01
1.580619929400736590e+00 , 4.363264840015681045e+01
1.587837372000739933e+00 , 4.377568951421891086e+01
1.595054814600743276e+00 , 4.391821976715935705e+01
1.602272257200746619e+00 , 4.406023915897815613e+01
1.609489699800749962e+00 , 4.420174768967530099e+01
1.616707142400753305e+00 , 4.434274535925080585e+01
1.623924585000756649e+00 , 4.448323216770464938e+01
1.631142027600759992e+00 , 4.462320811503684581e+01
1.638359470200763335e+00 , 4.476267320124738802e+01
1.645576912800766678e+00 , 4.490162742633629023e+01
1.652794355400770243e+00 , 4.504007079030353111e+01
1.660011798000773586e+00 , 4.517800329314913199e+01
1.667229240600776929e+00 , 4.531542493487307866e+01
1.674446683200780273e+00 , 4.545233571547537110e+01
1.681664125800783616e+00 , 4.558873563495601644e+01
1.688881568400786959e+00 , 4.572462469331501467e+01
1.696099011000790302e+00 , 4.586000289055235157e+01
1.703316453600793645e+00 , 4.599487022666805558e+01
1.710533896200796988e+00 , 4.612922670166209116e+01
1.717751338800800331e+00 , 4.626307231553448673e+01
1.724968781400803675e+00 , 4.639640706828522809e+01
1.732186224000807240e+00 , 4.652923095991432234e+01
1.739403666600810583e+00 , 4.666154399042176237e+01
1.746621109200813926e+00 , 4.679334615980755530e+01
1.753838551800817269e+00 , 4.692463746807169400e+01
1.761055994400820612e+00 , 4.705541791521419270e+01
1.768273437000823956e+00 , 4.718568750123502298e+01
1.775490879600827299e+00 , 4.731544622613421325e+01
1.782708322200830642e+00 , 4.744469408991175641e+01
1.789925764800833985e+00 , 4.757343109256764535e+01
1.797143207400837328e+00 , 4.770165723410188718e+01
1.804360650000840671e+00 , 4.782937251451446770e+01
1.811578092600844236e+00 , 4.795657693380541531e+01
1.818795535200847580e+00 , 4.808327049197470160e+01
1.826012977800850923e+00 , 4.820945318902232657e+01
1.833230420400854266e+00 , 4.833512502494832574e+01
1.840447863000857609e+00 , 4.846028599975266360e+01
1.847665305600860952e+00 , 4.858493611343534724e+01
1.854882748200864295e+00 , 4.870907536599637666e+01
1.862100190800867638e+00 , 4.883270375743578029e+01
1.869317633400870982e+00 , 4.895582128775350839e+01
1.876535076000874325e+00 , 4.907842795694958227e+01
1.883752518600877668e+00 , 4.920052376502401614e+01
1.890969961200881233e+00 , 4.932210871197681001e+01
1.898187403800884576e+00 , 4.944318279780793546e+01
1.905404846400887919e+00 , 4.956374602251743511e+01
1.912622289000891262e+00 , 4.968379838610526633e+01
1.919839731600894606e+00 , 4.980333988857144334e+01
1.927057174200897949e+00 , 4.992237052991597324e+01
1.934274616800901292e+00 , 5.004089031013886313e+01
1.941492059400904635e+00 , 5.015889922924009170e+01
1.948709502000907978e+00 , 5.027639728721966605e+01
1.955926944600911321e+00 , 5.039338448407760040e+01
1.963144387200914665e+00 , 5.050986081981388764e+01
1.970361829800918230e+00 , 5.062582629442851356e+01
1.977579272400921573e+00 , 5.074128090792150658e+01
1.984796715000924916e+00 , 5.085622466029282407e+01
1.992014157600928259e+00 , 5.097065755154250155e+01
1.999231600200931602e+00 , 5.108457958167052482e+01
2.006449042800934723e+00 , 5.119799075067690808e+01
2.013666485400938289e+00 , 5.131089105856164423e+01
2.020883928000941854e+00 , 5.142328050532472616e+01
2.028101370600944975e+00 , 5.153515909096613967e+01
2.035318813200948540e+00 , 5.164652681548592739e+01
2.042536255800951661e+00 , 5.175738367888405378e+01
2.049753698400955226e+00 , 5.186772968116054017e+01
2.056971141000958347e+00 , 5.197756482231535102e+01
2.064188583600961913e+00 , 5.208688910234853608e+01
2.071406026200965034e+00 , 5.219570252126005983e+01
2.078623468800968599e+00 , 5.230400507904994356e+01
2.085840911400971720e+00 , 5.241179677571815176e+01
2.093058354000975285e+00 , 5.251907761126473417e+01
2.100275796600978850e+00 , 5.262584758568966237e+01
2.107493239200981971e+00 , 5.273210669899292213e+01
2.114710681800985537e+00 , 5.283785495117454900e+01
2.121928124400988658e+00 , 5.294309234223452165e+01
2.129145567000992223e+00 , 5.304781887217285430e+01
2.136363009600995344e+00 , 5.315203454098951141e+01
2.143580452200998909e+00 , 5.325573934868454273e+01
2.150797894801002030e+00 , 5.335893329525791273e+01
2.158015337401005596e+00 , 5.346161638070964273e+01
2.165232780001008717e+00 , 5.356378860503969719e+01
2.172450222601012282e+00 , 5.366544996824812586e+01
2.179667665201015847e+00 , 5.376660047033490031e+01
2.186885107801018968e+00 , 5.386724011130002054e+01
2.194102550401022533e+00 , 5.396736889114347946e+01
2.201319993001025654e+00 , 5.406698680986529837e+01
2.208537435601029220e+00 , 5.416609386746547727e+01
2.215754878201032341e+00 , 5.426469006394400196e+01
2.222972320801035906e+00 , 5.436277539930085823e+01
2.230189763401039027e+00 , 5.446034987353607448e+01
2.237407206001042592e+00 , 5.455741348664965074e+01
2.244624648601045713e+00 , 5.465396623864157277e+01
2.251842091201049278e+00 , 5.475000812951182638e+01
2.259059533801052844e+00 , 5.484553915926044709e+01
2.266276976401055965e+00 , 5.494055932788741359e+01
2.273494419001059530e+00 , 5.503506863539273297e+01
2.280711861601062651e+00 , 5.512906708177638393e+01
2.287929304201066216e+00 , 5.522255466703840909e+01
2.295146746801069337e+00 , 5.531553139117877294e+01
2.302364189401072903e+00 , 5.540799725419749677e+01
2.309581632001076024e+00 , 5.549995225609454508e+01
2.316799074601079589e+00 , 5.559139639686996759e+01
2.324016517201082710e+00 , 5.568232967652372878e+01
2.331233959801086275e+00 , 5.577275209505584996e+01
2.338451402401089840e+00 , 5.586266365246629562e+01
2.345668845001092961e+00 , 5.595206434875511547e+01
2.352886287601096527e+00 , 5.604095418392228112e+01
2.360103730201099648e+00 , 5.612933315796779254e+01
2.367321172801103213e+00 , 5.621720127089164976e+01
2.374538615401106334e+00 , 5.630455852269385986e+01
2.381756058001109899e+00 , 5.639140491337442285e+01
2.388973500601113020e+00 , 5.647774044293333873e+01
2.396190943201116585e+00 , 5.656356511137058618e+01
2.403408385801119707e+00 , 5.664887891868619363e+01
2.410625828401123272e+00 , 5.673368186488016107e+01
2.417843271001126837e+00 , 5.681797394995247430e+01
2.425060713601129958e+00 , 5.690175517390312621e+01
2.432278156201133523e+00 , 5.698502553673213811e+01
2.439495598801136644e+00 , 5.706778503843949579e+01
2.446713041401140210e+00 , 5.715003367902520637e+01
2.453930484001143331e+00 , 5.723177145848924852e+01
2.461147926601146896e+00 , 5.731299837683165777e+01
2.468365369201150017e+00 , 5.739371443405241990e+01
2.475582811801153582e+00 , 5.747391963015152783e+01
2.482800254401156703e+00 , 5.755361396512897443e+01
2.490017697001160268e+00 , 5.763279743898478102e+01
2.497235139601163834e+00 , 5.771147005171894762e+01
2.504452582201166955e+00 , 5.778963180333143157e+01
2.511670024801170520e+00 , 5.786728269382229684e+01
2.518887467401173641e+00 , 5.794442272319150078e+01
2.526104910001177206e+00 , 5.802105189143905761e+01
2.533322352601180327e+00 , 5.809717019856494602e+01
2.540539795201183892e+00 , 5.817277764456920863e+01
2.547757237801187014e+00 , 5.824787422945180992e+01
2.554974680401190579e+00 , 5.832245995321277121e+01
2.562192123001193700e+00 , 5.839653481585205697e+01
2.569409565601197265e+00 , 5.847009881736971693e+01
2.576627008201200830e+00 , 5.854315195776571557e+01
2.583844450801203951e+00 , 5.861569423704007420e+01
2.591061893401207517e+00 , 5.868772565519275730e+01
2.598279336001210638e+00 , 5.875924621222381461e+01
2.605496778601214203e+00 , 5.883025590813321770e+01
2.612714221201217324e+00 , 5.890075474292097368e+01
2.619931663801220889e+00 , 5.897074271658705413e+01
2.627149106401224010e+00 , 5.904021982913150879e+01
2.634366549001227575e+00 , 5.910918608055431633e+01
2.641583991601230696e+00 , 5.917764147085546256e+01
2.648801434201234262e+00 , 5.924558600003494746e+01
2.656018876801237827e+00 , 5.931301966809279946e+01
2.663236319401240948e+00 , 5.937994247502899725e+01
2.670453762001244513e+00 , 5.944635442084354793e+01
2.677671204601247634e+00 , 5.951225550553643018e+01
2.684888647201251199e+00 , 5.957764572910768663e+01
2.692106089801254321e+00 , 5.964252509155728177e+01
2.699323532401257886e+00 , 5.970689359288522979e+01
2.706540975001261007e+00 , 5.977075123309151650e+01
2.713758417601264572e+00 , 5.983409801217616319e+01
2.720975860201267693e+00 , 5.989693393013915568e+01
2.728193302801271258e+00 , 5.995925898698050815e+01
2.735410745401274824e+00 , 6.002107318270019221e+01
2.742628188001277945e+00 , 6.008237651729823625e+01
